phyloorder,OTTid,OTTname,fg,originalname,class,phylum,logweight,avgsize,avgbio,avgwgt,mobility,diet,calcifier,chordate,segmented,legnum,symmetry,spines,shells,obligate associates
109,237338,Scorpaenoidei,11,Scorpaenidae,Actinopterygii,Chordata,-0.521476213,22.01428571,163.1670433,0.471714286,1,3,0,1,0,0,0,0,0,0
13,802122,Sipunculus,10,Sipuncula,Sipunculidea,Sipuncula,-1.987259121,28.23333333,9.724868855,0.014666667,3,0,0,0,0,0,0,0,0,0
75,351827,Stenetriidae,1,Stenetriidae ,Malacostraca,Arthropoda (Crustacea),-3,1.383333333,0.564431219,0.001,2,1,1,0,1,6,0,0,0,0
100,325221,Lysiosquilloidea,3,Stomatopoda,Malacostraca,Arthropoda (Crustacea),-1.205510887,17.425,84.29410153,0.11225,3,3,1,0,1,4,0,0,0,0
32,894558,Strombidae,5,Strombidae,Gastropoda,Mollusca,-1.233881597,8.2,95.29439876,0.12,4,2,1,0,0,1,0,0,1,0
8,839640,Typosyllis,12,Syllidae,Polychaeta,Annelida,-2.018177138,12.93333333,9.637551203,0.019333333,2,1,0,0,1,0,0,0,0,0
79,472133,Tanaididae,3,Tanaidacea,Malacostraca,Arthropoda (Crustacea),-2.272226834,3.095454545,3.614713412,0.00705303,2,3,1,0,1,6,0,0,0,0
3,1025634,Terebella,12,Terebellida,Polychaeta,Annelida,-2,18,2.463259853,0.01,3,0,0,0,1,0,0,0,0,0
22,504423,Terebridae,6,Terebridae,Gastropoda,Mollusca,-2.297929382,3.613333333,3.720070804,0.006133333,4,3,1,0,0,1,0,0,1,0
84,440328,Tetraliidae,4,Tetraliidae ,Malacostraca,Arthropoda (Crustacea),-0.842047496,6.583333333,99.00888396,0.224666667,2,4,1,0,1,4,0,0,0,1
119,238725,Toxopneustes,14,Toxopneustidae,Echinoidea,Echinodermata,-0.866461092,7.9,90.51738787,0.136,2,1,1,0,0,0,1,1,0,0
83,211910,Trapeziidae,4,Trapeziidae,Malacostraca,Arthropoda (Crustacea),-0.974986002,6.476243094,117.3797313,0.312883978,2,4,1,0,1,4,0,0,0,1
30,833256,Falsicingulidae,6,Triphoridae,Gastropoda,Mollusca,-2.400601926,3.2875,3.19774598,0.004875,4,3,1,0,0,1,0,0,1,0
37,710383,Triviidae,6,Triviidae,Gastropoda,Mollusca,-1.283996656,4.5,35.29562079,0.052,4,3,1,0,0,1,0,0,1,0
57,717803,Trochidae,5,Trochidae,Gastropoda,Mollusca,-1.037,8.471428571,957.9373264,1.717428571,4,2,1,0,0,1,0,0,1,0
27,504420,Turbinellidae,6,Turbinellidae,Gastropoda,Mollusca,-2.301029996,2.1,1.058136878,0.005,4,3,1,0,0,1,0,0,1,0
58,407513,Turbinidae,5,Turbinidae,Gastropoda,Mollusca,-2.069635414,2.738,82.11691491,0.14344,4,2,1,0,0,1,0,0,1,0
21,94049,Turridae,6,Turridae,Gastropoda,Mollusca,-2.197621246,4.075,6.549914597,0.00975,4,3,1,0,0,1,0,0,1,0
63,1002136,Cyamiidae,8,Veneridae,Bivalvia,Mollusca,-1.602059991,5.3,17.67475131,0.025,3,1,1,0,0,1,0,0,2,0
31,967615,Vermetidae,7,Vermetidae,Gastropoda,Mollusca,-2,6.3,5.852865839,0.01,3,1,1,0,0,1,0,0,1,0
19,504418,Volutidae,6,Volutidae,Gastropoda,Mollusca,-2.162743853,2.7,4.038702886,0.007714286,4,3,1,0,0,1,0,0,1,0
85,7696074,Xanthidae,1,Xanthidae,Malacostraca,Arthropoda (Crustacea),-1.886950634,3.222813688,29.09694551,0.034003802,2,1,1,0,1,4,0,0,0,0
