OTTname,fg,originalname,class,phylum,OTTnamesingleton,OTTname,originalname,ott
Blenniidae,11,Blennidae,Actinopterygii,Chordata,Blenniidae,Blenniidae,Blenniidae,867524
Gobiiformes,11,Gobiidae,Actinopterygii,Chordata,Gobiiformes,Gobiiformes,Gobiidae,5554918
Labriformes,11,Labridae,Actinopterygii,Chordata,Labriformes,Labriformes,Labriformes,501484
Monacanthidae,11,Monacanthidae,Actinopterygii ,Chordata,Monacanthidae,Monacanthidae,Monacanthidae,191025
Pomacentridae,11,Pomacentridae,Actinopterygii ,Chordata,Pomacentridae,Pomacentridae,Pomacentridae,769569
Scorpaenoidei,11,Scorpaenidae,Actinopterygii,Chordata,Scorpaenidae,Scorpaenidae,Scorpaenidae,237354
Actiniaria,2,Actiniaria,Anthozoa,Cnidaria,Actiniaria,Actiniaria,Actiniaria,1084481
Scleractinia,14,Scleractinia,Anthozoa,Cnidaria,Scleractinia,Scleractinia,Scleractinia,712383
Cidaridae,13,Cidaridae,Echinoidea,Echinodermata,Cidaridae,Cidaridae,Cidaridae,146859
Crinoidea,12,Crinoidea,Crinoidea,Echinodermata,Crinoidea,Crinoidea,Crinoidea,732545
Cryptasterina,12,Asterinidae,Asteroidea,Echinodermata,Cryptasterina,Cryptasterina,Asterinidae,831359
Diadematidae,13,Diadematidae,Echinoidea,Echinodermata,Diadematidae,Diadematidae,Diadematidae,631173
Ophiactidae,12,Ophiactidae,Ophiuroidea ,Echinodermata,Ophiactidae,Ophiactidae,Ophiactidae,817293
Ophidiasteridae,12,Ophidiasteridae,Asteroidea,Echinodermata,Ophidiasteridae,Ophidiasteridae,Ophidiasteridae,987826
Ophiocomidae,12,Ophiocomidae ,Ophiuroidea ,Echinodermata,Ophiocomidae,Ophiocomidae,Ophiocomidae,669480
Ophiodermatidae,12,Ophiomyxidae ,Ophiuroidea ,Echinodermata,Ophiodermatidae,Ophiodermatidae,Ophiomyxidae ,308696
Ophionereididae,12,Ophiuroidea,Ophiuroidea ,Echinodermata,Ophionereididae,Ophionereididae,Ophiuroidea ,5926355
Ophiotrichidae,12,Ophiotrichidae,Ophiuroidea ,Echinodermata,Ophiotrichidae,Ophiotrichidae,Ophiotrichidae,983023
Toxopneustes,13,Toxopneustidae,Echinoidea,Echinodermata,Toxopneustes,Toxopneustes,Toxopneustidae,238725
Aglajidae,2,Aglajidae,Gastropoda,Mollusca,Aglajidae,Aglajidae,Aglajidae,823226
Aplysiomorpha,2,Anaspidea,Gastropoda,Mollusca,Anaspidea,Anaspidea,Anaspidea,126309
Aplustridae,5,Aplustridae,Gastropoda,Mollusca,Aplustridae,Aplustridae,Aplustridae,830518
Buccinidae,5,Buccinidae,Gastropoda,Mollusca,Buccinidae,Buccinidae,Buccinidae,376924
Bullidae,4,Bullidae,Gastropoda,Mollusca,Bullidae,Bullidae,Bullidae,848005
Epitoniidae,5,Epitoniidae,Gastropoda,Mollusca,Calopiidae,Calopiidae,Epitoniidae,828042
Calyptraeidae,3,Mollusca,Mollusca,Mollusca,Calyptraeidae,Calyptraeidae,Mollusca,146150
Cancellariidae,5,Cancellariidae,Gastropoda,Mollusca,Cancellariidae,Cancellariidae,Cancellariidae,852134
Chitonidae,4,Chitonidae,Polyplacophora,Mollusca,Chitonidae,Chitonidae,Chitonidae,542188
Columbellidae,5,Columbellidae,Gastropoda,Mollusca,Columbellidae,Columbellidae,Columbellidae,140406
Conidae,5,Conidae,Gastropoda,Mollusca,Conidae,Conidae,Conidae,700410
Costellariidae,5,Costellariidae ,Gastropoda,Mollusca,Costellariidae,Costellariidae,Costellariidae,788574
Cyamiidae,6,Veneridae,Bivalvia,Mollusca,Cyamiidae,Cyamiidae,Veneridae,1002136
Pyramidellidae,5,Pyramidellidae,Gastropoda,Mollusca,Cylichnidae,Cylichnidae,Pyramidellidae,701577
Cypraeidae,4,Cypraeidae,Gastropoda,Mollusca,Cypraeidae,Cypraeidae,Cypraeidae,272319
Potamididae,3,Potamididae,Gastropoda,Mollusca,Epigridae,Epigridae,Potamididae,2920127
Triphoridae,5,Triphoridae,Gastropoda,Mollusca,Falsicingulidae,Falsicingulidae,Triphoridae,833256
Fasciolariidae,5,Fasciolariidae,Gastropoda,Mollusca,Fasciolariidae,Fasciolariidae,Fasciolariidae,700418
Fissurellidae,5,Fissurellidae,Gastropoda,Mollusca,Fissurellidae,Fissurellidae,Fissurellidae,335843
Haliotidae,4,Haliotidae,Gastropoda,Mollusca,Haliotidae,Haliotidae,Haliotidae,228111
Haminoeidae,4,Haminoeidae,Gastropoda,Mollusca,Haminoeidae,Haminoeidae,Haminoeidae,120642
Dialidae,3,Dialidae,Gastropoda,Mollusca,Hydrococcidae,Hydrococcidae,Dialidae,512263
Cardiidae,6,Cardiidae,Bivalvia,Mollusca,Laevicardiinae,Laevicardiinae,Cardiidae,5703923
Limidae,6,Limidae,Bivalvia,Mollusca,Limidae,Limidae,Limidae,124375
Liotiidae,3,Gastropoda,Gastropoda,Mollusca,Liotiidae,Liotiidae,Gastropoda,935091
Littorinidae,4,Littorinidae,Gastropoda,Mollusca,Littorinidae,Littorinidae,Littorinidae,415698
Mitridae,5,Mitridae,Gastropoda,Mollusca,Mitridae,Mitridae,Mitridae,623255
Muricidae,5,Muricidae,Gastropoda,Mollusca,Muricidae,Muricidae,Muricidae,426502
Mytilidae,6,Mytilidae,Bivalvia,Mollusca,Mytilus,Mytilus,Mytilidae,7493576
Naticidae,5,Naticidae,Gastropoda,Mollusca,Naticidae,Naticidae,Naticidae,361914
Nudibranchia,2,Nudibranchia,Gastropoda,Mollusca,Nudibranchia,Nudibranchia,Nudibranchia,76753
Olividae,5,Olividae,Gastropoda,Mollusca,Olividae,Olividae,Olividae,504427
Ovulidae,5,Ovulidae,Gastropoda,Mollusca,Ovulidae,Ovulidae,Ovulidae,342479
Oxynoeidae,3,Opisthobranchia,Gastropoda,Mollusca,Oxynoeidae,Oxynoeidae,Opisthobranchia,588315
Patellidae,4,Patellidae,Gastropoda,Mollusca,Patellidae,Patellidae,Patellidae,717800
Pectinidae,6,Pectinidae,Bivalvia,Mollusca,Pectinidae,Pectinidae,Pectinidae,975312
Phasianellidae,4,Phasianellidae,Gastropoda,Mollusca,Phasianellidae,Phasianellidae,Phasianellidae,2915453
Plakobranchus,2,Plakobranchidae,Gastropoda,Mollusca,Plakobranchus,Plakobranchus,Plakobranchidae,583123
Pleurobranchidae,2,Pleurobranchidae,Gastropoda,Mollusca,Pleurobranchidae,Pleurobranchidae,Pleurobranchidae,165261
Pteriidae,6,Pteriidae,Bivalvia,Mollusca,Pteriidae,Pteriidae,Pteriidae,645953
Rissoinidae,3,Rissoinidae,Gastropoda,Mollusca,Rissoinidae,Rissoinidae,Rissoinidae,5224244
Strombidae,4,Strombidae,Gastropoda,Mollusca,Strombidae,Strombidae,Strombidae,894558
Terebridae,5,Terebridae,Gastropoda,Mollusca,Terebridae,Terebridae,Terebridae,504423
Tridacnidae,6,Bivalvia,Bivalvia,Mollusca,Tridacna,Tridacna,Bivalvia,255553
Triviidae,5,Triviidae,Gastropoda,Mollusca,Triviidae,Triviidae,Triviidae,710383
Trochidae,4,Trochidae,Gastropoda,Mollusca,Trochidae,Trochidae,Trochidae,717803
Turbinellidae,5,Turbinellidae,Gastropoda,Mollusca,Turbinellidae,Turbinellidae,Turbinellidae,504420
Turbinidae,4,Turbinidae,Gastropoda,Mollusca,Turbinidae,Turbinidae,Turbinidae,407513
Turridae,5,Turridae,Gastropoda,Mollusca,Turridae,Turridae,Turridae,94049
Vermetidae,3,Vermetidae,Gastropoda,Mollusca,Vermetidae,Vermetidae,Vermetidae,967615
Volutidae,5,Volutidae,Gastropoda,Mollusca,Volutidae,Volutidae,Volutidae,504418
Cucullanidae,2,Nematoda,Nematoda,Nematoda,Cucullanidae,Cucullanidae,Nematoda,617247
Enopla,2,Nemertea,Nemertea,Nemertea,Enopla,Enopla,Nemertea,971440
Acotylea,2,Platyhelminthes,Platyhelminthes,Platyhelminthes,Acotylea,Acotylea,Platyhelminthes,720419
Pseudocerotidae,2,Pseudocerotidae,Turbellaria ,Platyhelminthes,Pseudocerotidae,Pseudocerotidae,Pseudocerotidae,756231
Golfingiidae,2,Golfingiidae,Sipunculidea,Sipuncula,Golfingiidae,Golfingiidae,Golfingiidae,76597
Phascolosomatidae,2,Phascolosomatidae,Phascolosomatidea ,Sipuncula,Phascolosomatidae,Phascolosomatidae,Phascolosomatidae,247687
Sipunculus,2,Sipuncula,Sipunculidea,Sipuncula,Sipunculus,Sipunculus,Sipunculidea,802122
